"Codi";"Sigles";"Vots";"percent"
"08154";"Sí - No";"25";"6,17"
"08154";"Sí - En blanc";"8";"1,98"
"08154";"No";"19";"4,69"
"08154";"En blanc";"1";",25"
"08154";"Altres";"21";"5,19"
"08164";"Sí - Sí";"551";"90,33"
"08164";"Sí - No";"29";"4,75"
"08164";"Sí - En blanc";"3";",49"
"08164";"No";"9";"1,48"
"08164";"En blanc";"1";",16"
"08164";"Altres";"17";"2,79"
"08168";"Sí - Sí";"129";"91,49"
"08168";"Sí - No";"8";"5,67"
"08168";"Sí - En blanc";"1";",71"
"08168";"No";"0";",00"
"08168";"En blanc";"1";",71"
"08168";"Altres";"2";"1,42"
"08174";"Sí - Sí";"246";"91,11"
"08174";"Sí - No";"10";"3,70"
"08174";"Sí - En blanc";"5";"1,85"
"08174";"No";"3";"1,11"
"08174";"En blanc";"1";",37"
"08174";"Altres";"5";"1,85"
"08206";"Sí - Sí";"429";"85,12"
"08206";"Sí - No";"39";"7,74"
"08206";"Sí - En blanc";"4";",79"
"08206";"No";"11";"2,18"
"08206";"En blanc";"5";",99"
"08206";"Altres";"16";"3,17"
"08222";"Sí - Sí";"937";"86,52"
"08222";"Sí - No";"70";"6,46"
"08222";"Sí - En blanc";"14";"1,29"
"08222";"No";"35";"3,23"
"08222";"En blanc";"5";",46"
"08222";"Altres";"22";"2,03"
"08227";"Sí - Sí";"1252";"87,98"
"08227";"Sí - No";"86";"6,04"
"08227";"Sí - En blanc";"15";"1,05"
"08227";"No";"31";"2,18"
"08227";"En blanc";"12";",84"
"08227";"Altres";"27";"1,90"
"08232";"Sí - Sí";"1031";"86,42"
"08232";"Sí - No";"77";"6,45"
"08232";"Sí - En blanc";"15";"1,26"
"08232";"No";"34";"2,85"
"08232";"En blanc";"4";",34"
"08232";"Altres";"32";"2,68"
"08236";"Sí - Sí";"830";"88,39"
"08236";"Sí - No";"46";"4,90"
"08236";"Sí - En blanc";"13";"1,38"
"08236";"No";"18";"1,92"
"08236";"En blanc";"3";",32"
"08236";"Altres";"29";"3,09"
"08240";"Sí - Sí";"4644";"85,27"
"08240";"Sí - No";"442";"8,12"
"08240";"Sí - En blanc";"46";",84"
"08240";"No";"157";"2,88"
"08240";"En blanc";"29";",53"
"08240";"Altres";"128";"2,35"
"08249";"Sí - Sí";"202";"88,99"
"08249";"Sí - No";"8";"3,52"
"08249";"Sí - En blanc";"4";"1,76"
"08249";"No";"6";"2,64"
"08249";"En blanc";"1";",44"
"08249";"Altres";"6";"2,64"
"08251";"Sí - Sí";"1749";"80,27"
"08251";"Sí - No";"180";"8,26"
"08251";"Sí - En blanc";"18";",83"
"08251";"No";"93";"4,27"
"08251";"En blanc";"11";",50"
"08251";"Altres";"128";"5,87"
"08273";"Sí - Sí";"1415";"90,47"
"08273";"Sí - No";"58";"3,71"
"08273";"Sí - En blanc";"23";"1,47"
"08273";"No";"24";"1,53"
"08273";"En blanc";"4";",26"
"08273";"Altres";"40";"2,56"
"08287";"Sí - Sí";"670";"90,91"
"08287";"Sí - No";"35";"4,75"
"08287";"Sí - En blanc";"10";"1,36"
"08287";"No";"11";"1,49"
"08287";"En blanc";"6";",81"
"08287";"Altres";"5";",68"
"08288";"Sí - Sí";"547";"79,05"
"08288";"Sí - No";"51";"7,37"
"08288";"Sí - En blanc";"12";"1,73"
"08288";"No";"22";"3,18"
"08288";"En blanc";"8";"1,16"
"08288";"Altres";"52";"7,51"
"08305";"Sí - Sí";"12665";"86,91"
"08305";"Sí - No";"941";"6,46"
"08305";"Sí - En blanc";"112";",77"
"08305";"No";"432";"2,96"
"08305";"En blanc";"60";",41"
"08305";"Altres";"363";"2,49"
"08304";"Sí - Sí";"528";"89,34"
"08304";"Sí - No";"26";"4,40"
"08304";"Sí - En blanc";"4";",68"
